Telegram ID,Count
375542731,26
462722,30
432970267,19
518420147,18
459392242,21
270200807,9
305936907,17
238773003,9
407841196,20
464619027,8
387877255,10
279159946,16
407249068,7
263310465,8
1178706327,19
472067999,7
37475999,8
85281936,7
501832798,15
38055419,22
49846066,15
112842363,23
508640239,16
469408485,6
315184635,6
337758129,16
436934693,15
790769438,7
320940676,6
909166912,7
323559061,14
370296641,6
450910678,14
438786796,14
477151824,6
506573104,14
785943617,15
792845295,7
1002489864,6
579592081,16
325375033,6
454815839,8
403147,5
447480871,5
361697883,5
468496634,5
483226083,6
476364236,5
95188025,6
864624886,14
740776227,7
392304884,2
530546121,5
373727962,5
367664519,6
483215845,5
412563129,5
1343523870,5
178446945,5
261595784,5
545242716,5
404461823,5
29526041,13
46946584,5
398310612,5
369488310,5
1241295558,6
584964339,5
1281903757,5
549917670,5
445479964,5
371349957,2
1323045482,5
332731712,4
419345,5
387189569,4
378358615,2
470269277,4
380905831,5
415215249,13
484107394,4
268529012,5
396492320,4
499388540,5
349384764,12
154699249,5
1045541275,4
489605442,5
1318167214,4
896387744,4
1382890433,22
1394984165,4
807752860,4
423418935,4
312853581,12
98221489,4
16708526,11
149954717,4
650045343,10
521376570,4
480611928,4
370651183,4
781086902,4
36742237,4
491346147,4
271029178,5
486474957,5
355608797,4
384529305,4
1345655035,4
441587540,4
501496799,4
1296810619,4
433315452,4
1059514834,13
454241131,12
971724,4
752572964,4
511355494,4
243404190,4
404806059,4
414467556,5
1358058129,4
1358048057,4
321020476,4
147577458,5
413955281,5
537727744,3
231249850,4
424560226,4
413290672,12
375018486,4
1000100743,3
195688323,4
415513012,12
487999687,5
879837823,4
1005317652,3
953506,3
469054290,3
505632204,3
496876605,11
850500839,24
414782431,5
265237894,3
149154010,3
428360295,4
428251001,4
279043344,3
949400966,3
1265488773,4
426739392,4
6884316,11
455988606,3
359380489,4
1480565976,4
1474696830,3
212733944,3
1432534721,5
521050668,4
772556603,3
757766027,3
427477348,3
715518902,4
302957889,3
587053178,3
557084459,4
415533864,3
188200615,3
1362941890,3
523999898,3
594354757,3
